,name,ran_successfully,runtime,start_mem,max_mem,mode,commit_hash,datetime,fname
0,GIBBON_for_efficient_batch_entropy_search,True,17.15776381200004,114.22265625,601.78515625,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
1,Multi_objective_multi_fidelity_BO,True,42.19136709500003,115.99609375,597.34765625,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
2,batch_mode_cross_validation,True,3.0635181430000102,116.74609375,555.12109375,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
3,bo_with_warped_gp,True,11.943523163000007,117.47265625,570.27734375,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
4,closed_loop_botorch_only,True,12.177325982000012,117.22265625,558.41796875,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
5,compare_mc_analytic_acquisition,True,3.014592322999988,117.6875,531.33984375,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
6,composite_bo_with_hogp,True,98.24042652599996,117.1875,1648.69921875,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
7,composite_mtbo,True,53.40865495899993,117.1875,629.52734375,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
8,constrained_multi_objective_bo,True,11.009975117000067,117.1875,566.97265625,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
9,custom_acquisition,True,23.85581089799996,117.1875,915.46875,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
10,custom_botorch_model_in_ax,True,6.467103584000029,117.87109375,989.25,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
11,discrete_multi_fidelity_bo,True,33.97996250599999,118.28125,581.1484375,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
12,fit_model_with_torch_optimizer,True,3.353521359999945,118.53125,558.73046875,smoke-test,68547512,2023-02-21 20:00:29.634413,smoke-test_68547512_2023-02-21 20:00:29.634413.csv
